Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Interest Expense,Income Tax Expense,Net Income,Gross Margin,Profit Margin,Free Cash Flow margin,Consolidated Income,Short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Long-term investments,Total non-current assets,Payables,Short-term debt,Total current liabilities,Total debt,Deferred revenue,Total liabilities,Other comprehensive income,Total shareholders equity,Investments,Depreciation & Amortization,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Issuance (repayment) of debt,Issuance (buybacks) of shares,Effect of forex changes on cash,Net Income per Share,Shareholders Equity per Share,Market Cap,Enterprise Value,Income Quality,Invested Capital,Average Payables,Days Sales Outstanding,Operating Income Growth,Inventory Growth,Asset Growth,Debt Growth,R&D Expense Growth,Class
65058000000,32638000000,32420000000,0,18654000000,18654000000,465000000,3063000000,15326000000,0.4983,0.236,0.144,15411000000,9568000000,4594000000,4624000000,26494000000,19893000000,0,93912000000,9632000000,13554000000,30210000000,31592000000,0,64628000000,-14632000000,55778000000,9568000000,2820000000,-3384000000,-491000000,-3381000000,1399000000,-2731000000,-29000000,5.9923,21.8086,2.23E+11,2.39E+11,0.8321,47333000000,9478500000,25.7741,0.0242,-0.0195,-0.0529,0.0325,0,1
11020603537,8557810006,2462793531,273345223.7,820185157.2,2056136034,12459945.59,94640266.02,294687877.9,0.2235,0.0041,-0.0203,286038845.2,37179715.84,1282937424,1052033102,3917191354,1006775242,90727932.29,1823863664,1729913694,252011789.6,2910774637,870951179,439199214,3587098549,-3664147.521,2160598398,127907648.1,160467956.5,-372474758.2,-710550.1814,48734885.13,248732315.6,847995314.4,-915054.4135,21.9467,160.9096,6253200000,,0.5033,1574892080,1468724954,42.4906,0.043,0.4764,0.5889,0.3805,0.2141,0
1.15E+11,89502000000,25835000000,0,19162000000,22383000000,522000000,957000000,1975000000,0.224,0.017,0.005,1957000000,0,1649000000,6561000000,10340000000,21016000000,0,26165000000,5818000000,2252000000,12860000000,14077000000,0,29795000000,-715000000,6698000000,0,2340000000,-3699000000,-401000000,0,1861000000,-1698000000,0,2.0966,7.1104,31520988408,45275988408,2.163,33216000000,5773000000,5.2185,-0.0347,0.0637,0.0769,0.1654,0,0
22927540000,17862833000,5064707000,0,4776995000,4816124000,200065000,44438000,4053000,0.2209,0,-0.001,4053000,0,1771126000,1789541000,5065288000,1526462000,0,6528464000,1613909000,17709000,3005248000,3290801000,0,10979682000,-42317000,614070000,0,407366000,-254149000,0,16852000,313412000,6951000,0,0.077,11.6703,5503880561,8549271561,57.2704,9235642000,1578353000,28.1958,-0.3299,-0.3365,0.0281,-0.5295,0,0
15619800000,10052000000,5567800000,0,2888800000,3069200000,295100000,655200000,1657500000,0.3565,0.106,0.1111,1701100000,0,1430100000,1483600000,4061400000,3687700000,0,17751200000,2119800000,1838800000,5330800000,9481700000,0,16216200000,-2244500000,4327900000,0,603600000,-680200000,20800000,13000000,1034500000,-1538900000,-18500000,2.8769,7.5119,32591979691,41307579691,1.4571,11919800000,2083150000,33.4183,-0.0237,0.0494,0.0046,0.1246,0,0
78098000000,59782000000,18316000000,0,6647000000,6735000000,914000000,4307000000,6035000000,0.2345,0.077,0.0943,6341000000,0,3738000000,8806000000,21594000000,7271000000,1074000000,21374000000,2242000000,3005000000,15962000000,34339000000,0,53198000000,-8535000000,-12086000000,1074000000,875000000,-1548000000,-111000000,-1527000000,4172000000,0,1085000000,3.8855,-7.7813,1.62E+11,1.88E+11,1.4767,42800000000,1954000000,17.47,0.0622,-0.0234,0.166,0.1814,0,0
35410000000,13255000000,22155000000,0,12654000000,14556000000,841000000,5560000000,1248000000,0.6257,0.035,0.1513,1283000000,5317000000,3667000000,2655000000,36545000000,8203000000,21952000000,51351000000,8748000000,16503000000,27194000000,47685000000,0,68919000000,-10305000000,17072000000,27269000000,1260000000,-1571000000,12000000,-602000000,1089000000,-2087000000,241000000,0.2921,3.9963,1.94E+11,2.21E+11,5.5529,76393000000,9119000000,37.7988,-0.1222,-0.0075,0.0072,0.0432,0,1
4.86E+11,3.61E+11,1.25E+11,0,1.02E+11,1.02E+11,2367000000,6204000000,13643000000,0.2565,0.028,0.0443,14293000000,0,5835000000,43046000000,57689000000,1.14E+11,0,1.41E+11,41433000000,3920000000,66928000000,45938000000,0,1.18E+11,-14232000000,77798000000,0,10080000000,-10163000000,-1801000000,-1901000000,-3591000000,-8298000000,-452000000,4.3995,25.088,2.05E+11,2.44E+11,2.3216,1.54E+11,39960000000,4.3834,-0.0556,-0.032,-0.0038,-0.0819,0,0
25896000000,15862000000,10034000000,0,5938000000,6758000000,382000000,666000000,2828000000,0.3875,0.109,0.0652,2842000000,0,3526000000,2557000000,7520000000,8677000000,6193000000,55437000000,5705000000,4680000000,15793000000,17652000000,0,36883000000,-9997000000,25994000000,6193000000,816000000,-905000000,604000000,0,-196000000,-2174000000,89000000,1.8924,17.3944,63377020441,80268020441,0.9169,24331000000,5511500000,49.6984,0.2872,0.0356,0.0231,0.0263,0,0
25576000000,13613000000,11963000000,0,2338000000,2370000000,705000000,-399000000,10222000000,0.4677,0.4,0.1838,10227000000,0,142000000,2225000000,4344000000,1914000000,17952000000,38858000000,374000000,864000000,6792000000,13894000000,0,27784000000,-1897000000,15377000000,17952000000,209000000,-199000000,-415000000,133000000,0,-2917000000,0,5.3569,8.0584,1.35E+11,1.48E+11,0.4795,31344000000,399500000,2.0265,0.095,0.0848,-0.0594,0.0009,0,0
14466717004,5449048626,9017668378,0,4391211114,4023557838,1055240109,1534068257,2214436726,0.6233,0.0462,0.3579,2371035941,3594080.338,1493446089,1304439746,7465418303,5684778013,108728480.8,18765901540,4170250680,399546964.7,8664602839,771609785.6,0,11739383872,0,13895741468,112322561.2,1090939293,-936786469.3,-100664451.8,85502869.22,-769042585.3,-11658109.33,162790697.7,1.5463,9.703,73093350000,,2.7609,4315040773,4053952121,37.6801,0.0181,-0.023,0.0187,-0.5344,0,0
1043100000,522327000,520773000,0,389292000,386179000,13145000,34066000,116880000,0.4993,0.112,0.2957,112490000,229456397,3424285,2823039,871121005,154306718,347732444,957784946,28519984,0,667140343,450148918,518873505,1148041620,55869132,644244906,577188841,33561000,-70552000,-92541000,-351743000,213000000,1674000,-3414000,0.2397,1.3211,15073300000,,3.2428,833835470,21600963.5,1.1982,0.5825,3.7016,0.7231,0.9758,0,0
8551525219,6826094835,1725430384,0,1410812443,1531893688,1040622169,-76049531.86,-297281788,0.2018,-0.0106,0.0552,-331893687.7,0,1185533072,1494472969,5794442767,3681848384,453850800.4,7865629719,2006131078,0,4492419209,6390697674,0,10122530957,-424403503.5,3382754455,453850800.4,492993053.5,-381636967.7,-338508003.6,100875868.3,207701600.7,154001812.1,24735729.39,-4.056,46.1535,4241530000,,-2.8729,11530504379,1899840723,50.6014,-0.6741,0.0155,0.0357,0.0251,0,0
26076000000,17043000000,9033000000,0,2976000000,2976000000,1234000000,-5482000000,10941000000,0.3464,0.42,-0.0266,10932000000,0,1274000000,2760000000,7201000000,7061000000,0,1.13E+11,4362000000,3195000000,10154000000,31503000000,0,54016000000,-1054000000,65863000000,0,1031000000,-1194000000,0,2286000000,-1351000000,0,57000000,8.9793,54.054,93846392729,1.24E+11,0.0458,35555000000,4179000000,17.8329,0.0814,0.0283,-0.0032,-0.0278,0,0
9552000000,6289000000,3263000000,0,2705600000,2877500000,469100000,-1578400000,2748800000,0.3416,0.288,0.0586,2748800000,0,1879300000,1662400000,10725700000,972400000,0,22409800000,1226800000,661800000,4907700000,10551000000,0,18954200000,-763100000,14144700000,0,635600000,-406200000,1472600000,0,-1400400000,-152400000,49300000,5.6478,29.0625,15506764000,25572064000,0.3515,21220500000,1372850000,71.8116,0.2932,-0.2144,-0.0207,-0.1128,0,0
18348000000,11761000000,6587000000,0,3202000000,3229000000,318000000,776000000,2278000000,0.359,0.124,0.117,2319000000,0,2315000000,1790000000,5211000000,7436000000,233000000,9940000000,2834000000,953000000,5858000000,7425000000,0,14269000000,-2919000000,629000000,233000000,724000000,-782000000,0,-31000000,-184000000,-790000000,36000000,6.4761,1.7882,41883741116,48692741116,1.2858,14526000000,2721500000,46.0527,-0.0074,0.0661,0.0376,-0.0194,0,0
5837000000,3395000000,2442000000,93000000,1123000000,1011000000,115000000,392000000,887000000,0.4184,0.152,0.1628,887000000,0,605000000,902000000,1900000000,2454000000,0,5826000000,666000000,1037000000,2395000000,3536000000,0,6081000000,-53000000,1637000000,0,318000000,-338000000,0,0,-34000000,-435000000,11000000,2.9082,5.3672,16010946508,19227946508,1.4521,5315000000,638000000,37.8319,0.4906,-0.0404,-0.0142,0.0008,-0.1143,0
70271000000,49145000000,21126000000,0,14217000000,16262000000,991000000,1295000000,2734000000,0.3006,0.039,0.0561,2734000000,0,0,8309000000,11990000000,24658000000,0,25441000000,7252000000,1718000000,12707000000,12749000000,0,26478000000,-638000000,10953000000,0,2318000000,-1501000000,0,28000000,-672000000,-3706000000,0,4.7334,18.963,36015913152,46252913152,1.9912,34961000000,7335000000,0,-0.0094,-0.0339,-0.0703,-0.0009,0,1
9167519000,7164356000,2003163000,0,762104000,762284000,12683000,431542000,846735000,0.2185,0.092,0.089,847103000,0,618351000,921022000,2026523000,1203251000,242369000,4949385000,643001000,0,1058212000,250000000,0,2036211000,-248075000,4935907000,242369000,130977000,-217532000,-379424000,0,0,-72761000,1044000,1.6026,9.3419,15914020109,15719898109,1.221,2576747000,601046500,24.6193,-0.0345,-0.0656,0.0951,0,0,1
12854000000,8155000000,4699000000,0,3312000000,3312000000,256000000,410000000,1254000000,0.3656,0.098,-0.0076,1254000000,0,1389000000,1217000000,3036000000,3716000000,429000000,13315000000,2269000000,779000000,4522000000,8615000000,0,14157000000,-1457000000,2178000000,429000000,481000000,-501000000,-592000000,1236000000,551000000,-419000000,53000000,3.6298,6.3044,23481771806,31815771806,0.3214,10993000000,2141500000,39.4418,-0.0647,-0.017,0.0821,0.1092,0,0
1275000000,686000000,589000000,,286000000,286000000,11000000,100000000,194000000,0.461960784,0.152156863,,194000000,,,,,,,,,,,,,,,,,11000000,-171000000,,0,-385000000,-50000000,0,,,,,,,,,,,,,,1
7826900000,5483100000,2343800000,0,1474000000,1418800000,195500000,254700000,639300000,0.2995,0.082,0.1203,648000000,0,563400000,927900000,2013200000,1633100000,0,8083100000,773100000,227200000,1720500000,2996400000,0,6018500000,-212900000,3990800000,0,268000000,-228900000,163300000,0,-1050200000,-1000000000,-200000,1.5025,9.379,16390321093,19135321093,1.8304,5601800000,739900000,26.2736,1.2862,-0.1113,-0.246,-0.4507,0,0
63525000000,28796000000,34729000000,0,24453000000,24453000000,1151000000,4694000000,4857000000,0.5467,0.076,0.114,4908000000,8900000000,7024000000,2947000000,31027000000,17240000000,2042000000,48777000000,15017000000,5485000000,20502000000,39281000000,0,68823000000,-13057000000,11045000000,10942000000,2369000000,-2789000000,206000000,-1849000000,2050000000,-1538000000,47000000,3.4084,7.7509,1.68E+11,1.88E+11,2.0651,59391000000,14630000000,40.3583,0.0481,0.0823,0.0859,0.0632,0,0
1.29E+11,1.12E+11,17143000000,0,12950000000,13032000000,134000000,1325000000,2679000000,0.1329,0.021,0.0327,2714000000,1233000000,1432000000,9834000000,17317000000,18161000000,0,19030000000,9608000000,0,17495000000,6573000000,1498000000,25268000000,-1014000000,10778000000,1233000000,1370000000,-2502000000,0,106000000,1346000000,-469000000,25000000,6.1103,24.5828,69797744128,70591744128,2.5106,20879000000,8610000000,4.051,0.1196,0.0964,0.096,0.2736,0,1
7650300000,3028300000,4622000000,0,4040700000,5042900000,218600000,-259500000,-422200000,0.6042,-0.055,0.0425,-398500000,0,1470300000,1052600000,3581500000,1632100000,0,18966700000,1732100000,209100000,3803600000,7137400000,0,12679400000,4400000,9314700000,0,555100000,-432300000,-731300000,0,1034600000,-13500000,9200000,-0.6568,14.4908,14025695108,20592395108,-1.7942,8330600000,1326750000,70.1488,-2.6558,0.8604,2.2049,0.7416,0,0
3369045000,1231355000,2137690000,0,938903000,938903000,0,380945000,820678000,0.6345,0.244,0.266,820678000,672933000,449476000,255745000,2086377000,230276000,2366000,2704635000,245910000,0,560351000,0,377590000,895800000,-16659000,3895212000,675299000,48887000,-91712000,0,-438630000,-2583000,-308552000,5985000,1.448,6.8725,35366138543,34164583543,1.2036,1336311000,219590000,48.6959,0.1045,0.579,0.1535,0,0,0
7392300000,4557000000,2835300000,0,1379600000,1792700000,163100000,286100000,592300000,0.3835,0.08,0.1173,592300000,0,438700000,905700000,1641800000,1617500000,0,13997900000,477200000,953000000,1832600000,5398500000,0,8789500000,-143400000,6850200000,0,419000000,-191900000,0,40600000,170000000,-437600000,-6200000,5.0867,58.8297,14658775870,19890475870,1.7879,6811800000,468300000,21.6611,-0.0897,0.007,-0.0215,-0.0058,0,0
15454000000,6174000000,9280000000,0,5400000000,5573000000,102000000,1313000000,2024000000,0.6005,0.131,0.1618,2174000000,0,1480000000,1221000000,4639000000,4072000000,0,8037000000,1212000000,11000000,3408000000,6577000000,0,12433000000,-3855000000,-60000000,0,475000000,-553000000,44000000,44000000,-29000000,-892000000,87000000,2.305,-0.0683,65980826456,71022826456,1.5089,10751000000,1168000000,34.9554,-0.0627,0.0427,0.0456,0.0067,0,0
60828000000,57310000000,3518000000,0,1978000000,2151000000,330000000,7000000,1595000000,0.0578,0.026,-0.1153,1602000000,4826000000,1947000000,9173000000,19925000000,10138000000,5180000000,20038000000,8867000000,870000000,12570000000,7493000000,0,21641000000,-1637000000,18322000000,10006000000,924000000,-1049000000,-272000000,8624000000,382000000,-750000000,0,2.8032,32.2004,22420345008,24283345008,-3.7404,30164000000,8815500000,11.683,-0.1359,0.0387,0.0049,0.0811,0,1
21986598000,15203960000,6782638000,0,4719189000,4719189000,97821000,714495000,1251133000,0.3085,0.057,0.0479,1251133000,0,0,3258785000,3677771000,2434456000,0,7994527000,1557596000,500950000,2622805000,3211526000,0,6266004000,-4990000,5406294000,0,379931000,-550936000,0,0,236362000,-979364000,0,4.4474,19.2178,20205967976,23229578976,1.2829,6533856000,1525910500,0,0.0635,0.0601,0.0368,0.0811,0,1
11002800000,6236700000,4766100000,0,3052000000,3088400000,349300000,-204600000,1565600000,0.4332,0.142,0.1206,1587800000,0,902000000,591500000,2189700000,4673700000,0,28057200000,2684500000,714800000,3399300000,11313500000,0,17059600000,-860000000,12978400000,0,812800000,-539100000,0,0,-1096800000,4000000,26000000,7.2683,60.2526,16267386075,27162286075,1.1921,15040500000,2576100000,29.9224,-0.4054,-0.002,0.0309,-0.0629,0,0
